Counter;Case;Dificulty;Analysis;Method;Number_of_constraints;Number_of_variables;Solver_status;Solver_status_string;Solver_message;Iterations;Time;Tumor_dose;Critical_tissue_dose;Regular_tissue_dose;Hot_spots
1;Prostate;easy;Absolute;Interior point;14933;2263;1;optimal;Function converged to a solution x.;0;5,85E+14;The tumor dose is within the prescribed uniformity setting. The min and max tumor dose are 63.7001 and 66.3;The critical structures must recieve an excessive dose of at least 22.4619;There were no restrictions on the regular tissue.;There are no hot spots.
2;Prostate;easy;Absolute;Automatic;14933;2263;1;optimal;Function converged to a solution x.;0;1,27E+14;The tumor dose is within the prescribed uniformity setting. The min and max tumor dose are 63.7001 and 66.3;The critical structures must recieve an excessive dose of at least 22.4619;There were no restrictions on the regular tissue.;There are no hot spots.
3;Prostate;easy;Average;Interior point;14933;12217;1;optimal;Function converged to a solution x.;0;4,94E+14;The average tumor dose is within the prescribed uniformity setting. The average tumor dose is 64.9675;The average critical structure dose is under its prescribed dose by -28.6917;There were no restrictions on the regular tissue.;There are no hot spots.
4;Prostate;easy;Average;Automatic;14933;12217;1;optimal;Function converged to a solution x.;0;1,40E+14;The average tumor dose is within the prescribed uniformity setting. The average tumor dose is 64.9675;The average critical structure dose is under its prescribed dose by -28.6917;There were no restrictions on the regular tissue.;There are no hot spots.
5;Liver;easy;Absolute;Interior point;15937;1121;1;optimal;Function converged to a solution x.;0;9,86E+14;The tumor dose is within the prescribed uniformity setting. The min and max tumor dose are 73.5001 and 76.5;The critical structures recieved at least -15.3572 under their prescribed dose.;There were no restrictions on the regular tissue.;There are no hot spots.
6;Liver;easy;Absolute;Automatic;15937;1121;1;optimal;Function converged to a solution x.;0;1,92E+13;The tumor dose is within the prescribed uniformity setting. The min and max tumor dose are 73.5001 and 76.5;The critical structures recieved at least -15.3572 under their prescribed dose.;There were no restrictions on the regular tissue.;There are no hot spots.
7;Liver;easy;Average;Interior point;15937;11691;1;optimal;Function converged to a solution x.;0;1,55E+14;The average tumor dose is within the prescribed uniformity setting. The average tumor dose is 74.9825;The average critical structure dose is under its prescribed dose by -20.976;There were no restrictions on the regular tissue.;There are no hot spots.
8;Liver;easy;Average;Automatic;15937;11691;1;optimal;Function converged to a solution x.;0;5,90E+14;The average tumor dose is within the prescribed uniformity setting. The average tumor dose is 74.9825;The average critical structure dose is under its prescribed dose by -20.976;There were no restrictions on the regular tissue.;There are no hot spots.
9;Head and Neck;easy;Absolute;Interior point;15490;9980;1;optimal;Function converged to a solution x.;0;1,10E+14;The tumor dose is within the prescribed uniformity setting. The min and max tumor dose are 47.3341 and 49.266;The critical structures recieved at least -0.9659 under their prescribed dose.;There were no restrictions on the regular tissue.;There are no hot spots.
10;Head and Neck;easy;Absolute;Automatic;15490;9980;1;optimal;Function converged to a solution x.;0;2,52E+14;The tumor dose is within the prescribed uniformity setting. The min and max tumor dose are 47.3341 and 49.266;The critical structures recieved at least -0.9659 under their prescribed dose.;There were no restrictions on the regular tissue.;There are no hot spots.
11;Head and Neck;easy;Average;Interior point;15490;20371;5;optimal with unscaled infeasibilities;Solution with numerical issues;768;9,62E+14;The average tumor dose is within the prescribed uniformity setting. The average tumor dose is 48.2508;The average critical structure dose is under its prescribed dose by -17.5027;There were no restrictions on the regular tissue.;There are no hot spots.
12;Head and Neck;easy;Average;Automatic;15490;20371;5;optimal with unscaled infeasibilities;Solution with numerical issues;1784;1597125;The average tumor dose is within the prescribed uniformity setting. The average tumor dose is 48.2519;The average critical structure dose is under its prescribed dose by -17.5027;There were no restrictions on the regular tissue.;There are no hot spots.
